timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description,wdominant,long_dsc,lat_dsc,dsc,long_tsc,lat_tsc,tsc,risk_score
4,30768,Rear-left,-22.91,6.38,-18.4,4.77,-1.77,-1.43,-0.99,0.01,inf,3.33,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,4,4.5,5,4,4.5,4
5,30755,Front-right,13.52,-7.18,9.01,-5.57,2.92,-3.12,-0.08,2.23,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
5,30756,Rear-left,-12.76,2.89,-8.25,1.28,-1.76,-1.3,-1.81,-1.32,inf,0.98,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,2,3.5,5,2,3.5,3
5,30759,Right,2.59,-23.77,0.0,-22.16,-5.97,-9.68,0.85,2.83,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
5,30762,Right,-1.25,-5.03,0.0,-3.42,0.49,0.7,0.23,4.33,0.0,4.88,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,4,4.0,4
5,30763,Rear-right,-11.74,-9.24,-7.23,-7.63,-0.72,2.62,-0.92,5.48,inf,2.92,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,3,4.0,4
5,30764,Rear-right,-21.23,-15.02,-16.72,-13.41,-1.63,2.18,-0.53,4.56,inf,6.15,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
5,30768,Rear-left,-23.44,6.99,-18.93,5.38,-1.43,-1.46,-0.91,0.58,inf,3.69,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,4,4.5,4
6,30755,Front-right,13.45,-8.09,8.94,-6.48,3.06,-3.47,0.36,1.82,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
6,30756,Rear-left,-12.87,3.29,-8.36,1.68,-1.99,-1.25,-2.02,-3.04,inf,1.34,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,3,4.0,4
6,30759,Right,0.91,-24.82,0.0,-23.21,-6.13,-9.62,0.14,1.2,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
6,30762,Right,-1.42,-4.94,0.0,-3.33,0.99,0.34,0.04,3.2,0.0,9.73,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,5,5.0,4
6,30763,Rear-right,-12.24,-8.5,-7.73,-6.89,-0.71,2.22,1.86,-2.65,inf,3.1,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
6,30764,Rear-right,-22.03,-13.91,-17.52,-12.3,-1.27,2.03,1.04,-0.76,inf,6.07,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
6,30768,Rear-left,-23.5,7.9,-19.0,6.29,-1.41,-1.54,-0.77,-0.43,inf,4.08,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,4,4.5,4
7,30755,Front-right,13.73,-8.47,9.22,-6.86,3.28,-3.49,0.02,0.91,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
7,30756,Rear-left,-13.11,3.21,-8.6,1.6,-2.2,-1.07,-2.04,-3.28,inf,1.49,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,3,4.0,4
7,30759,Right,0.24,-25.78,0.0,-24.17,-5.94,-9.61,-0.2,1.02,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
7,30762,Right,-1.34,-4.92,0.0,-3.31,1.4,0.19,0.08,2.8,0.0,17.22,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.,0.0,0,4,4.0,0,5,5.0,4
7,30763,Rear-right,-12.37,-8.27,-7.86,-6.66,-0.83,2.02,1.85,-2.89,inf,3.29,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
7,30764,Rear-right,-22.2,-13.67,-17.69,-12.06,-1.15,1.97,0.53,-0.01,inf,6.13,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
7,30768,Rear-left,-23.66,7.8,-19.15,6.19,-1.39,-1.45,-1.2,-1.52,inf,4.26,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,4,4.5,4
8,30755,Front-right,13.77,-9.26,9.26,-7.65,3.36,-3.75,0.18,1.08,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
8,30756,Rear-left,-13.27,3.51,-8.76,1.9,-2.49,-0.94,-2.07,-3.51,inf,2.01,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,3,4.0,4
8,30759,Right,-1.2,-26.73,0.0,-25.12,-6.07,-9.52,-1.13,0.96,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
8,30762,Right,-1.35,-4.9,0.0,-3.29,1.76,-0.22,0.12,2.75,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
8,30763,Rear-right,-12.73,-7.71,-8.22,-6.1,-0.97,1.72,1.68,-2.84,inf,3.54,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
8,30764,Rear-right,-22.74,-12.8,-18.24,-11.19,-1.07,1.77,0.71,-0.66,inf,6.3,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
8,30768,Rear-left,-23.57,8.37,-19.06,6.76,-1.43,-1.47,-0.93,-1.14,inf,4.59,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,4,4.5,4
9,30755,Front-right,14.11,-9.62,9.6,-8.01,3.42,-3.74,0.2,0.61,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
9,30756,Rear-left,-13.57,3.41,-9.06,1.8,-2.86,-0.74,-2.08,-4.04,inf,2.43,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,3,4.0,4
9,30759,Right,-1.77,-27.69,0.0,-26.08,-6.01,-9.57,-0.08,0.23,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
9,30762,Right,-1.17,-4.94,0.0,-3.33,1.97,-0.4,0.1,1.39,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
9,30763,Rear-right,-12.85,-7.57,-8.35,-5.96,-1.27,1.55,1.62,-3.27,inf,3.85,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
9,30764,Rear-right,-22.85,-12.66,-18.34,-11.05,-1.14,1.71,0.57,-0.93,inf,6.44,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
9,30768,Rear-left,-23.75,8.2,-19.24,6.59,-1.55,-1.38,-0.87,-1.53,inf,4.77,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,4,4.5,4
10,30755,Front-right,14.2,-10.34,9.69,-8.73,3.36,-3.93,0.08,0.23,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
10,30756,Rear-left,-13.8,3.67,-9.3,2.06,-3.28,-0.57,-2.08,-4.18,inf,3.63,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,4,4.5,4
10,30759,Right,-3.06,-28.59,0.0,-26.98,-6.21,-9.49,-0.88,0.24,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
10,30762,Right,-1.09,-4.98,0.0,-3.37,2.16,-0.73,0.19,1.92,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
10,30763,Rear-right,-13.19,-7.13,-8.68,-5.52,-1.59,1.29,1.79,-3.79,inf,4.27,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
10,30764,Rear-right,-23.27,-11.95,-18.76,-10.34,-1.21,1.57,0.35,-0.64,inf,6.6,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
10,30768,Rear-left,-23.72,8.62,-19.21,7.01,-1.71,-1.37,-0.71,-1.34,inf,5.12,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
11,30755,Front-right,14.52,-10.75,10.01,-9.14,3.31,-3.92,-0.22,-0.49,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
11,30756,Rear-left,-14.16,3.65,-9.65,2.04,-3.7,-0.36,-2.08,-4.31,inf,5.69,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,5,5.0,4
11,30759,Right,-3.72,-29.54,0.0,-27.93,-6.23,-9.52,0.62,-0.17,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
11,30762,Right,-0.87,-5.07,0.0,-3.46,2.32,-0.88,0.21,1.59,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
11,30763,Rear-right,-13.38,-7.0,-8.88,-5.39,-1.97,1.11,1.78,-3.92,inf,4.86,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,4,4.5,4
11,30764,Rear-right,-23.42,-11.77,-18.92,-10.16,-1.39,1.47,0.75,-1.57,inf,6.91,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
11,30768,Rear-left,-23.89,8.52,-19.39,6.91,-1.88,-1.28,-0.68,-1.42,inf,5.39,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
12,30755,Front-right,14.69,-11.36,10.19,-9.75,3.23,-4.03,0.18,0.07,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
12,30756,Rear-left,-14.51,3.83,-10.0,2.22,-4.15,-0.15,-2.06,-4.5,inf,14.6,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,5,5.0,4
12,30762,Right,-0.71,-5.17,0.0,-3.56,2.41,-1.19,0.27,1.47,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
12,30763,Rear-right,-13.71,-6.71,-9.2,-5.1,-2.38,0.9,1.78,-4.14,inf,5.69,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
12,30764,Rear-right,-23.74,-11.3,-19.23,-9.69,-1.54,1.36,0.91,-2.1,inf,7.12,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
12,30768,Rear-left,-23.97,8.74,-19.47,7.13,-2.09,-1.23,-0.68,-1.64,inf,5.78,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
13,30755,Front-right,14.93,-11.88,10.43,-10.27,3.16,-4.11,0.58,0.64,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
13,30756,Rear-left,-14.92,3.93,-10.41,2.32,-4.52,-0.0,-0.91,-2.37,inf,7140.93,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,3,4.0,5,5,5.0,4
13,30762,Right,-0.5,-5.32,0.0,-3.71,2.44,-1.49,0.36,1.4,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
13,30763,Rear-right,-14.02,-6.54,-9.51,-4.93,-2.84,0.71,1.78,-4.36,inf,6.91,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,4,4.5,5,5,5.0,4
13,30764,Rear-right,-23.98,-11.0,-19.47,-9.39,-1.75,1.27,0.92,-2.31,inf,7.37,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
13,30768,Rear-left,-24.13,8.79,-19.62,7.18,-2.32,-1.17,-0.94,-2.41,inf,6.12,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
14,30755,Front-right,15.19,-12.36,10.68,-10.75,2.98,-4.11,-0.02,-0.77,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
14,30756,Rear-left,-15.35,4.01,-10.84,2.4,-4.64,-0.0,0.02,-0.68,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
14,30762,Right,-0.28,-5.48,0.0,-3.87,2.39,-1.73,0.26,0.42,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
14,30763,Rear-right,-14.36,-6.41,-9.85,-4.8,-3.34,0.54,1.79,-4.56,inf,8.89,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,4,4.5,5,5,5.0,4
14,30764,Rear-right,-24.21,-10.76,-19.7,-9.15,-1.99,1.2,0.67,-2.0,inf,7.62,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
14,30768,Rear-left,-24.32,8.8,-19.81,7.19,-2.59,-1.1,-0.85,-2.45,inf,6.51,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
15,30755,Front-right,15.39,-12.91,10.88,-11.3,2.82,-4.18,0.21,-0.91,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
15,30756,Rear-left,-15.77,4.13,-11.26,2.52,-4.8,-0.0,0.05,-1.24,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
15,30762,Right,-0.08,-5.67,0.0,-4.06,2.23,-1.94,0.23,-0.48,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
15,30763,Rear-right,-14.77,-6.25,-10.26,-4.64,-3.89,0.37,1.81,-5.11,inf,12.61,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,4,4.5,5,5,5.0,4
15,30764,Rear-right,-24.5,-10.44,-20.0,-8.83,-2.29,1.11,0.8,-2.74,inf,7.94,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
15,30768,Rear-left,-24.51,8.89,-20.01,7.28,-2.9,-1.04,-0.35,-2.04,inf,6.97,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
16,30755,Front-right,15.73,-13.26,11.22,-11.65,2.51,-4.13,0.16,-1.77,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
16,30756,Rear-left,-16.26,4.07,-11.75,2.46,-5.12,-0.0,0.07,-1.94,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
16,30762,Right,0.16,-5.88,0.0,-4.27,1.88,-2.02,0.21,-1.4,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
16,30763,Rear-right,-15.16,-6.28,-10.65,-4.67,-4.61,0.21,1.84,-5.82,inf,22.28,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,4,4.5,5,5,5.0,4
16,30764,Rear-right,-24.7,-10.43,-20.19,-8.82,-2.78,1.05,0.5,-2.82,inf,8.39,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
16,30768,Rear-left,-24.84,8.7,-20.33,7.09,-3.37,-0.95,-0.54,-3.18,inf,7.47,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
17,30755,Front-right,16.02,-13.65,11.51,-12.04,2.05,-4.11,-0.14,-2.93,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
17,30756,Rear-left,-16.76,4.04,-12.25,2.43,-5.56,-0.0,0.09,-2.47,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
17,30762,Right,0.37,-6.09,0.0,-4.48,1.4,-2.16,0.23,-1.93,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
17,30763,Rear-right,-15.62,-6.29,-11.11,-4.68,-5.43,0.05,1.82,-6.29,inf,90.05,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,4,4.5,5,5,5.0,4
17,30764,Rear-right,-24.95,-10.37,-20.45,-8.76,-3.37,0.99,0.51,-3.31,inf,8.87,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
17,30768,Rear-left,-25.18,8.57,-20.68,6.96,-3.92,-0.89,-0.47,-3.6,inf,7.85,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
18,30755,Front-right,16.26,-14.04,11.75,-12.43,1.79,-4.12,0.07,-1.45,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
18,30756,Rear-left,-17.29,4.03,-12.79,2.42,-5.83,-0.0,0.05,-1.48,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
18,30762,Right,0.53,-6.32,0.0,-4.71,1.04,-2.33,-0.06,-1.85,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
18,30763,Rear-right,-16.15,-6.31,-11.64,-4.7,-5.83,0.0,0.06,-1.49,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
18,30764,Rear-right,-25.27,-10.3,-20.76,-8.69,-3.82,0.91,0.99,-3.37,inf,9.53,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
18,30768,Rear-left,-25.57,8.46,-21.06,6.85,-4.32,-0.82,-0.39,-2.38,inf,8.41,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
19,30755,Front-right,16.31,-14.63,11.8,-13.02,1.44,-4.2,-0.19,-2.18,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
19,30756,Rear-left,-17.82,4.2,-13.31,2.59,-6.15,-0.0,0.07,-1.65,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
