Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
DEU_Salzwedel-74_1_T-4,20071,True,"[{'ObstacleID': '20071', 'OverallRiskScore': '0'}]",[20071],20071,True,True,True,True,True,True
DEU_Salzwedel-80_1_T-2,20029,True,"[{'ObstacleID': '20029', 'OverallRiskScore': '0'}]",[20029],NONE,True,True,False,True,True,True
DEU_Schopfloch-6_1_T-2,20057,True,"[{'ObstacleID': '20057', 'OverallRiskScore': '0'}]",[20057],None,True,True,False,True,True,True
DEU_Schweitenkirchen-4_1_T-12,426,True,"[{'ObstacleID': '426', 'OverallRiskScore': '0'}]",[426],None,True,True,False,True,True,True
DEU_Schweitenkirchen-5_1_T-36,625,True,"[{'ObstacleID': '625', 'OverallRiskScore': '0'}]",[625],None,True,True,False,True,True,True
DEU_Schwetzingen-10_1_T-5,20130,True,"[{'ObstacleID': '20130', 'OverallRiskScore': '0'}]",[20130],{},True,True,False,True,True,True
DEU_Schwetzingen-112_1_T-1,20046,True,"[{'ObstacleID': '20046', 'OverallRiskScore': '0'}]",[20046],,True,True,False,True,True,True
DEU_Schwetzingen-174_1_T-4,20111,True,"[{'ObstacleID': '20111', 'OverallRiskScore': '0'}]",[20111],,True,True,False,True,True,True
DEU_Schwetzingen-180_1_T-2,20094,True,"[{'ObstacleID': '20094', 'OverallRiskScore': '0'}]",[20094],20020,True,True,False,True,True,True
DEU_Schwetzingen-74_1_T-4,20064,True,"[{'ObstacleID': '20064', 'OverallRiskScore': '0'}]",[20064],None,True,True,False,True,True,True
DEU_Weimar-57_1_T-1,17,False,"[{'ObstacleID': 'none', 'OverallRiskScore': '0'}]",['none'],none,False,False,False,False,False,True
DEU_Wolfsburg-39_1_T-8,20148,True,"[{'ObstacleID': '20148', 'OverallRiskScore': '0'}]",[20148],None,True,True,False,True,True,True
ESP_Barcelona-10_44_T-1,30749,True,"[{'ObstacleID': '30749', 'OverallRiskScore': '0'}]",[30749],30735,True,True,False,True,True,True
ESP_Barcelona-21_6_T-1,30681,True,[{'ObstacleID': None}],[None],30681,False,False,True,True,False,True
ESP_Barcelona-38_52_T-1,30739,True,"[{'ObstacleID': 30739, 'OverallRiskScore': '0'}]",[30739],,True,True,False,True,True,True
ESP_Barcelona-39_11_T-1,30813,True,[],[],30813,False,False,True,True,False,True
ESP_Barcelona-39_27_T-1,30810,True,"[{'ObstacleID': '30810', 'OverallRiskScore': '0'}]",[30810],30808,True,True,False,True,True,True
ESP_Barcelona-3_13_T-1,30764,True,"[{'ObstacleID': '30764', 'OverallRiskScore': '0'}]",[30764],None,True,True,False,True,True,True
ESP_Barcelona-44_19_T-1,30743,True,"[{'ObstacleID': '30743', 'OverallRiskScore': '0'}]",[30743],,True,True,False,True,True,True
ESP_Barcelona-44_27_T-1,30760,True,"[{'ObstacleID': '30760', 'OverallRiskScore': '0'}]",[30760],30743,True,True,False,True,True,True
ESP_Barcelona-49_21_T-1,30784,True,"[{'ObstacleID': '30784', 'OverallRiskScore': '0'}]",[30784],,True,True,False,True,True,True
ESP_Barcelona-6_18_T-1,30746,True,"[{'ObstacleID': '', 'OverallRiskScore': 'N/A'}]",[''],30746,False,False,True,True,False,True
ESP_Bilbao-13_20_T-1,30801,True,"[{'ObstacleID': '30801', 'OverallRiskScore': '1'}]",[30801],30806,True,True,False,True,True,True
ESP_Bilbao-6_9_T-1,30693,True,"[{'ObstacleID': '30693', 'OverallRiskScore': '0'}]",[30693],,True,True,False,True,True,True
ESP_Ceuta-5_2_T-1,325,True,"[{'ObstacleID': '325', 'OverallRiskScore': '0'}]",[325],31,True,True,False,True,True,True
ESP_Vigo-63_4_T-1,3044,True,"[{'ObstacleID': '3044', 'OverallRiskScore': '1'}]",[3044],3044,True,True,True,True,True,True
ESP_Vigo-70_2_T-1,3393,True,"[{'ObstacleID': '3393', 'OverallRiskScore': '0'}]",[3393],N/A,True,True,False,True,True,True
ESP_Vigo-70_3_T-1,3395,True,"[{'ObstacleID': '3395', 'OverallRiskScore': '0'}]",[3395],,True,True,False,True,True,True
ESP_Vigo-99_28_T-1,3517,False,"[{'ObstacleID': '', 'OverallRiskScore': '5'}]",[''],,False,False,False,False,False,True
ESP_Vigo-99_34_T-1,3523,True,"[{'ObstacleID': '3523', 'OverallRiskScore': '0'}]",[3523],,True,True,False,True,True,True
FRA_Dijon-13_1_T-1,30374,True,[],[],30374,False,False,True,True,False,True
FRA_Dijon-24_4_T-1,30504,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],None,False,False,False,False,False,True
GRC_NeaSmyrni-117_1_T-6,20039,True,"[{'ObstacleID': '20039', 'OverallRiskScore': '0'}]",[20039],,True,True,False,True,True,True
GRC_NeaSmyrni-31_1_T-12,20084,True,"[{'ObstacleID': '20084', 'OverallRiskScore': '0'}]",[20084],{},True,True,False,True,True,True
GRC_NeaSmyrni-87_1_T-1,20039,True,"[{'ObstacleID': '20039', 'OverallRiskScore': '0'}]",[20039],,True,True,False,True,True,True
GRC_NeaSmyrni-98_1_T-1,20051,True,"[{'ObstacleID': '20051', 'OverallRiskScore': '0'}]",[20051],{},True,True,False,True,True,True
ITA_Empoli-7_2_T-1,317,True,"[{'ObstacleID': '317', 'OverallRiskScore': '0'}]",[317],None,True,True,False,True,True,True
ITA_Siderno-5_3_T-1,344,True,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],344,False,False,True,True,False,True
USA_Austin-64_7_T-1,3338,True,"[{'ObstacleID': '3338', 'OverallRiskScore': '0'}]",[3338],3337,True,True,False,True,True,True
USA_Austin-77_10_T-1,3349,True,"[{'ObstacleID': '3349', 'OverallRiskScore': '0'}]",[3349],,True,True,False,True,True,True
USA_Phoenix-17_14_T-1,3658,True,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],3659,False,False,False,False,False,True
USA_Phoenix-17_19_T-1,3667,True,[],[],3668,False,False,False,False,False,True
USA_Washington-12_15_T-1,30614,True,"[{'ObstacleID': '30614', 'OverallRiskScore': '0'}]",[30614],30606,True,True,False,True,True,True
USA_Washington-12_38_T-1,30629,True,"[{'ObstacleID': '30629', 'OverallRiskScore': '0'}]",[30629],,True,True,False,True,True,True
USA_Washington-32_46_T-1,30570,True,"[{'ObstacleID': '30570', 'OverallRiskScore': '0'}]",[30570],30561,True,True,False,True,True,True
USA_Washington-34_15_T-1,30579,True,"[{'ObstacleID': '30579', 'OverallRiskScore': '0'}]",[30579],N/A,True,True,False,True,True,True
