# Obstacle Identification Analysis Summary

## Dataset Statistics
Total scenarios in annotations: 104
Scenarios processed: 101
Scenarios with JSON format: 101 (100.00%)
Scenarios with text-only format: 0 (0.00%)

## Identification Accuracy
Correctly identified as ONLY collision obstacle: 0 (0.00%)
Correctly identified as extreme risk obstacle: 0 (0.00%)
Correctly identified as predicted collision obstacle: 0 (0.00%)
Correctly identified as either collision, extreme risk, or predicted collision obstacle: 0 (0.00%)

## Detailed Analysis
Scenarios where annotated obstacle is the ONLY collision ID: 0 (0.00%)
Scenarios where annotated obstacle is in collision IDs (may be multiple): 0 (0.00%)
Scenarios where annotated obstacle is the extreme risk obstacle: 0 (0.00%)
Scenarios where annotated obstacle is the predicted collision obstacle: 0 (0.00%)
Scenarios where annotated obstacle is either the ONLY collision ID, the extreme risk obstacle, or the predicted collision obstacle: 0 (0.00%)

## JSON Format Performance
JSON format scenarios: 101
Correctly identified in JSON format: 0 (0.00%)

## Missing Scenarios
- BEL_Brussels-50_20_T-1
- BEL_Brussels-65_6_T-1
- DEU_Arnstadt-11_1_T-2


## Scenarios with Annotated Obstacle as ONLY Collision ID

## Scenarios with Annotated Obstacle in Multiple Collision IDs

## Scenarios with Annotated Obstacle as Extreme Risk

## Scenarios with Annotated Obstacle as Predicted Collision

## Scenarios with Incorrect Obstacle Identification
- BEL_Aarschot-1_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Beijing-18_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Aschaffenburg-7_9_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-40_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- ARG_Carcarana-4_4_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_A99-1_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-6_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-82_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-52_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-6_6_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-3_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-82_5_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- DEU_Arnstadt-20_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-3_11_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- DEU_Aschaffenburg-16_5_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Leuven-24_13_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-5_13_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-39_7_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Leuven-24_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-78_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Brussels-29_1_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- CHN_Qingdao-14_28_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID None, Predicted Collision ID None
- BEL_Leuven-39_3_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Leuven-12_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-1_9_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Antwerp-40_6_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None
- BEL_Brussels-38_2_T-1: Annotated ID none, Collision IDs [], Extreme Risk ID {}, Predicted Collision ID None

## Scenarios without JSON Format
