Scenario,AnnotatedObstacleID,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,PredictedCollisionObstacle,PredictedCollisionID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,AnnotatedIDIsPredictedCollision,CorrectlyIdentified,JsonFormat
ESP_Vigo-70_2_T-1,3393,[],[],3393.0,,,False,False,True,False,True,True
DEU_Hanover-45_17_T-1,30700,[],[],,,,False,False,False,False,False,True
DEU_Schwetzingen-174_1_T-4,20111,[],[],{},,,False,False,False,False,False,True
ITA_Empoli-2_5_T-1,358,[],[],358.0,,,False,False,True,False,True,True
GRC_NeaSmyrni-98_1_T-1,20051,[],[],20052.0,,,False,False,False,False,False,True
DEU_Leipzig-37_8_T-1,3074,[],[],3071.0,,,False,False,False,False,False,True
DEU_Bremen-7_23_T-1,30306,[],[],{},,,False,False,False,False,False,True
ESP_Ceuta-5_2_T-1,325,[],[],None,,,False,False,False,False,False,True
DEU_Aschaffenburg-21_21_T-1,30285,"[{'ObstacleID': '30285.0', 'OverallRiskScore': 0}]",[30285],30288.0,,,True,True,False,False,True,True
ESP_Barcelona-6_18_T-1,30746,[],[],30726.0,,,False,False,False,False,False,True
DEU_Schwetzingen-180_1_T-2,20094,[],[],,,,False,False,False,False,False,True
ESP_Vigo-99_28_T-1,3517,[],[],3512,,,False,False,False,False,False,True
ESP_Vigo-63_4_T-1,3044,[],[],3044.0,,,False,False,True,False,True,True
ESP_Barcelona-38_52_T-1,30739,"[{'ObstacleID': '30739.0', 'OverallRiskScore': 0}]",[30739],30726.0,,,True,True,False,False,True,True
ESP_Vigo-99_34_T-1,3523,[],[],{},,,False,False,False,False,False,True
ESP_Barcelona-3_13_T-1,30764,[],[],30762.0,,,False,False,False,False,False,True
DEU_Schwetzingen-10_1_T-5,20130,"[{'ObstacleID': '20130.0', 'OverallRiskScore': 0}]",[20130],20131.0,,,True,True,False,False,True,True
DEU_Weimar-57_1_T-1,17,"[{'ObstacleID': '17.0', 'OverallRiskScore': 0}]",[17],48.0,,,True,True,False,False,True,True
GRC_ArchaioLimani-46_1_T-2,21,[],[],,,,False,False,False,False,False,True
DEU_Wolfsburg-39_1_T-8,20148,[],[],{},,,False,False,False,False,False,True
ESP_Vigo-70_3_T-1,3395,[],[],,,,False,False,False,False,False,True
DEU_Flensburg-62_1_T-1,367,[],[],{},,,False,False,False,False,False,True
DEU_Bremen-33_33_T-1,30274,[],[],{},,,False,False,False,False,False,True
USA_Phoenix-17_19_T-1,3667,"[{'ObstacleID': '3658.0', 'OverallRiskScore': 0}]",[3658],3659.0,,,False,False,False,False,False,True
ESP_Barcelona-44_19_T-1,30743,[],[],,,,False,False,False,False,False,True
DEU_Bonn-19_2_T-1,30202,[],[],30202.0,,,False,False,True,False,True,True
USA_Washington-12_38_T-1,30629,[],[],{},,,False,False,False,False,False,True
DEU_Guetersloh-32_1_T-1,33,[],[],331,,,False,False,False,False,False,True
DEU_Schwetzingen-112_1_T-1,20046,[],[],20046.0,,,False,False,True,False,True,True
DEU_Leipzig-63_24_T-1,3261,[],[],3265.0,,,False,False,False,False,False,True
GRC_NeaSmyrni-73_1_T-10,20100,[],[],{},,,False,False,False,False,False,True
ESP_Barcelona-10_44_T-1,30749,[],[],30727.0,,,False,False,False,False,False,True
DEU_Salzwedel-80_1_T-2,20029,[],[],20029.0,,,False,False,True,False,True,True
BEL_Antwerp-10_7_T-1,30736,[],[],{},,,False,False,False,False,False,True
BEL_Zwevegem-1_6_T-1,333,"[{'ObstacleID': '333.0', 'OverallRiskScore': 0}]",[333],333.0,,,True,True,True,False,True,True
DEU_Schweitenkirchen-5_1_T-36,625,[],[],625.0,,,False,False,True,False,True,True
FRA_Dijon-24_4_T-1,30504,[],[],{},,,False,False,False,False,False,True
DEU_Aschaffenburg-64_5_T-1,30195,[],[],{},,,False,False,False,False,False,True
FRA_Dijon-28_4_T-1,30532,"[{'ObstacleID': '30532.0', 'OverallRiskScore': 0}]",[30532],30532.0,,,True,True,True,False,True,True
USA_Austin-8_1_T-1,3301,[],[],3301,,,False,False,True,False,True,True
GRC_NeaSmyrni-154_1_T-2,20066,[],[],{},,,False,False,False,False,False,True
FRA_Dijon-13_1_T-1,30374,"[{'ObstacleID': '30374.0', 'OverallRiskScore': 0}]",[30374],30374.0,,,True,True,True,False,True,True
DEU_Memmingen-1_1_T-5,20052,[],[],,,,False,False,False,False,False,True
ESP_Barcelona-3_6_T-1,30764,[],[],0,,,False,False,False,False,False,True
GRC_NeaSmyrni-31_1_T-12,20084,[],[],{},,,False,False,False,False,False,True
DEU_Leipzig-13_7_T-1,3254,[],[],3256,,,False,False,False,False,False,True
DEU_Salzwedel-74_1_T-4,20071,[],[],{},,,False,False,False,False,False,True
DEU_Weimar-68_1_T-3,60,[],[],60.0,,,False,False,True,False,True,True
DEU_Lengede-44_1_T-6,109,[],[],109.0,,,False,False,True,False,True,True
DEU_Nuremberg-24_13_T-1,30716,[],[],30716.0,,,False,False,True,False,True,True
ESP_Bilbao-13_20_T-1,30801,[],[],,,,False,False,False,False,False,True
CHN_Beijing-3_5_T-1,3107,[],[],3099,,,False,False,False,False,False,True
DEU_Backnang-2_1_T-1,33,[],[],33.0,,,False,False,True,False,True,True
DEU_Bonn-35_11_T-1,30200,[],[],,,,False,False,False,False,False,True
DEU_Aschaffenburg-15_26_T-1,30441,[],[],30441.0,,,False,False,True,False,True,True
DEU_Kiel-52_2_T-1,30666,[],[],30664.0,,,False,False,False,False,False,True
DEU_Bonn-38_4_T-1,30234,"[{'ObstacleID': '30233', 'OverallRiskScore': 0}]",[30233],30232,,,False,False,False,False,False,True
DEU_Hanover-38_33_T-1,30688,"[{'ObstacleID': '30689.0', 'OverallRiskScore': 0}]",[30689],30689.0,,,False,False,False,False,False,True
USA_Austin-64_7_T-1,3338,[],[],{},,,False,False,False,False,False,True
DEU_Nuremberg-6_34_T-1,30796,[],[],30796.0,,,False,False,True,False,True,True
DEU_Nuremberg-29_9_T-1,30786,[],[],30785,,,False,False,False,False,False,True
DEU_Muehlhausen-5_1_T-1,330,"[{'ObstacleID': '330', 'OverallRiskScore': 0}]",[330],330,,,True,True,True,False,True,True
BEL_Antwerp-13_5_T-1,30674,[],[],,,,False,False,False,False,False,True
ARG_Carcarana-1_8_T-1,341,[],[],341.0,,,False,False,True,False,True,True
GRC_NeaSmyrni-117_1_T-6,20039,[],[],None,,,False,False,False,False,False,True
BEL_Brussels-82_4_T-1,30233,[],[],,,,False,False,False,False,False,True
DEU_Muehlhausen-10_5_T-1,315,[],[],315.0,,,False,False,True,False,True,True
ESP_Barcelona-44_27_T-1,30760,"[{'ObstacleID': '30760.0', 'OverallRiskScore': 0}]",[30760],30760.0,,,True,True,True,False,True,True
CHN_Qingdao-18_2_T-1,30655,[],[],30655.0,,,False,False,True,False,True,True
ESP_Barcelona-39_27_T-1,30810,"[{'ObstacleID': '30805.0', 'OverallRiskScore': 1}]",[30805],30805.0,,,False,False,False,False,False,True
DEU_Memmingen-138_1_T-4,20036,[],[],20036.0,,,False,False,True,False,True,True
DEU_Bremen-1_10_T-1,30295,[],[],{},,,False,False,False,False,False,True
DEU_Nuremberg-30_6_T-1,30604,[],[],{},,,False,False,False,False,False,True
ITA_Siderno-5_3_T-1,344,[],[],344.0,,,False,False,True,False,True,True
