Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
DEU_Nuremberg-30_6_T-1,30604,True,"[{'ObstacleID': '30603', 'OverallRiskScore': '0'}]",[30603],,False,False,False,False,False,True
DEU_Nuremberg-6_21_T-1,30803,True,"[{'ObstacleID': '30803', 'OverallRiskScore': '0'}]",[30803],,True,True,False,True,True,True
DEU_Nuremberg-6_34_T-1,30796,False,[],[],30787,False,False,False,False,False,True
DEU_Salzwedel-74_1_T-4,20071,True,"[{'ObstacleID': '20071', 'OverallRiskScore': '0'}]",[20071],20071,True,True,True,True,True,True
DEU_Salzwedel-80_1_T-2,20029,True,"[{'ObstacleID': '20029', 'OverallRiskScore': '0'}]",[20029],,True,True,False,True,True,True
DEU_Schopfloch-6_1_T-2,20057,True,"[{'ObstacleID': '20057', 'OverallRiskScore': '0'}]",[20057],,True,True,False,True,True,True
DEU_Schweitenkirchen-4_1_T-12,426,True,"[{'ObstacleID': '426', 'OverallRiskScore': '0'}]",[426],221,True,True,False,True,True,True
DEU_Schweitenkirchen-5_1_T-36,625,True,"[{'ObstacleID': '625', 'OverallRiskScore': '0'}]",[625],542,True,True,False,True,True,True
DEU_Schwetzingen-10_1_T-5,20130,True,"[{'ObstacleID': '20130', 'OverallRiskScore': '0'}]",[20130],,True,True,False,True,True,True
DEU_Schwetzingen-112_1_T-1,20046,True,"[{'ObstacleID': '20046', 'OverallRiskScore': '0'}]",[20046],20045,True,True,False,True,True,True
DEU_Schwetzingen-174_1_T-4,20111,True,"[{'ObstacleID': '20111', 'OverallRiskScore': '0'}]",[20111],,True,True,False,True,True,True
DEU_Schwetzingen-180_1_T-2,20094,True,"[{'ObstacleID': '20020', 'OverallRiskScore': '0'}]",[20020],20020,False,False,False,False,False,True
DEU_Schwetzingen-74_1_T-4,20064,True,"[{'ObstacleID': '20064', 'OverallRiskScore': '0'}]",[20064],,True,True,False,True,True,True
DEU_Weimar-57_1_T-1,17,True,"[{'ObstacleID': ['22', '31'], 'OverallRiskScore': '0'}]","[['22', '31']]",19,False,False,False,False,False,True
DEU_Weimar-68_1_T-3,60,False,"[{'ObstacleID': '60', 'OverallRiskScore': '1'}]",[60],60,True,True,True,True,False,True
DEU_Wolfsburg-39_1_T-8,20148,True,"[{'ObstacleID': '20148', 'OverallRiskScore': '0'}]",[20148],,True,True,False,True,True,True
ESP_Barcelona-10_44_T-1,30749,False,[],[],30735,False,False,False,False,False,True
ESP_Barcelona-12_43_T-1,30716,True,"[{'ObstacleID': '30716', 'OverallRiskScore': '0'}]",[30716],,True,True,False,True,True,True
ESP_Barcelona-21_6_T-1,30681,True,"[{'ObstacleID': '30681', 'OverallRiskScore': '1'}]",[30681],30681,True,True,True,True,True,True
ESP_Barcelona-38_52_T-1,30739,False,[],[],30734,False,False,False,False,False,True
ESP_Barcelona-39_11_T-1,30813,False,[],[],30813,False,False,True,True,False,True
ESP_Barcelona-39_27_T-1,30810,True,"[{'ObstacleID': '30807', 'OverallRiskScore': '0'}]",[30807],30805,False,False,False,False,False,True
ESP_Barcelona-3_13_T-1,30764,True,"[{'ObstacleID': '30764', 'OverallRiskScore': '0'}]",[30764],30762,True,True,False,True,True,True
ESP_Barcelona-3_6_T-1,30764,True,"[{'ObstacleID': '30764', 'OverallRiskScore': '0'}]",[30764],30765,True,True,False,True,True,True
ESP_Barcelona-44_19_T-1,30743,True,"[{'ObstacleID': '30743', 'OverallRiskScore': '0'}]",[30743],,True,True,False,True,True,True
ESP_Barcelona-44_27_T-1,30760,True,"[{'ObstacleID': '30743', 'OverallRiskScore': '0'}]",[30743],30760,False,False,True,True,False,True
ESP_Barcelona-49_21_T-1,30784,True,"[{'ObstacleID': ['30784', '30786', '30787'], 'OverallRiskScore': '0'}]","[['30784', '30786', '30787']]",,False,False,False,False,False,True
ESP_Barcelona-6_18_T-1,30746,True,"[{'ObstacleID': '30746', 'OverallRiskScore': '0'}]",[30746],30739,True,True,False,True,True,True
ESP_Bilbao-13_20_T-1,30801,True,"[{'ObstacleID': '30804', 'OverallRiskScore': '0'}]",[30804],30801,False,False,True,True,False,True
ESP_Bilbao-23_16_T-1,30921,True,"[{'ObstacleID': '30922', 'OverallRiskScore': '0'}]",[30922],30921,False,False,True,True,False,True
ESP_Bilbao-6_9_T-1,30693,True,"[{'ObstacleID': '30693', 'OverallRiskScore': '0'}]",[30693],,True,True,False,True,True,True
ESP_Ceuta-5_2_T-1,325,True,"[{'ObstacleID': ['31', '325'], 'OverallRiskScore': '0'}]","[['31', '325']]",,False,False,False,False,False,True
ESP_Vigo-63_4_T-1,3044,False,[],[],3044,False,False,True,True,False,True
ESP_Vigo-70_2_T-1,3393,False,[],[],3393,False,False,True,True,False,True
ESP_Vigo-70_3_T-1,3395,True,"[{'ObstacleID': '3391', 'OverallRiskScore': '0'}]",[3391],3395,False,False,True,True,False,True
ESP_Vigo-99_21_T-1,3511,False,[],[],"['3511', '3515']",False,False,False,False,False,True
ESP_Vigo-99_28_T-1,3517,True,"[{'ObstacleID': ['3511', '3515'], 'OverallRiskScore': '0'}]","[['3511', '3515']]",3517,False,False,True,True,False,True
ESP_Vigo-99_34_T-1,3523,False,[],[],3523,False,False,True,True,False,True
FRA_Dijon-13_1_T-1,30374,False,[],[],30374,False,False,True,True,False,True
FRA_Dijon-24_4_T-1,30504,True,"[{'ObstacleID': '30504', 'OverallRiskScore': '0'}]",[30504],,True,True,False,True,True,True
FRA_Dijon-28_4_T-1,30532,True,"[{'ObstacleID': '30532', 'OverallRiskScore': '0'}]",[30532],30530,True,True,False,True,True,True
GRC_ArchaioLimani-46_1_T-2,21,False,[],[],21,False,False,True,True,False,True
GRC_NeaSmyrni-117_1_T-6,20039,True,"[{'ObstacleID': '20039', 'OverallRiskScore': '0'}]",[20039],,True,True,False,True,True,True
GRC_NeaSmyrni-154_1_T-2,20066,True,"[{'ObstacleID': '20066', 'OverallRiskScore': '0'}]",[20066],,True,True,False,True,True,True
GRC_NeaSmyrni-31_1_T-12,20084,True,"[{'ObstacleID': '20084', 'OverallRiskScore': '0'}]",[20084],,True,True,False,True,True,True
GRC_NeaSmyrni-73_1_T-10,20100,True,"[{'ObstacleID': '20100', 'OverallRiskScore': '0'}]",[20100],20090,True,True,False,True,True,True
GRC_NeaSmyrni-87_1_T-1,20039,True,"[{'ObstacleID': '20039', 'OverallRiskScore': '0'}]",[20039],,True,True,False,True,True,True
GRC_NeaSmyrni-98_1_T-1,20051,True,"[{'ObstacleID': '20051', 'OverallRiskScore': '0'}]",[20051],,True,True,False,True,True,True
ITA_Empoli-2_5_T-1,358,False,[],[],39,False,False,False,False,False,True
ITA_Empoli-7_2_T-1,317,False,[],[],317,False,False,True,True,False,True
ITA_Siderno-5_3_T-1,344,True,"[{'ObstacleID': '344', 'OverallRiskScore': '0'}]",[344],,True,True,False,True,True,True
USA_Austin-46_4_T-1,3277,False,[],[],3277,False,False,True,True,False,True
USA_Austin-64_7_T-1,3338,False,[],[],3338,False,False,True,True,False,True
USA_Austin-77_10_T-1,3349,True,"[{'ObstacleID': '3349', 'OverallRiskScore': '0'}]",[3349],,True,True,False,True,True,True
USA_Austin-8_1_T-1,3301,False,[],[],3301,False,False,True,True,False,True
USA_Phoenix-17_14_T-1,3658,True,"[{'ObstacleID': '3655', 'OverallRiskScore': '1'}]",[3655],"['3658', '3659']",False,False,False,False,False,True
USA_Phoenix-17_19_T-1,3667,False,[],[],"['3657', '3662', '3666', '3669']",False,False,False,False,False,True
USA_Washington-12_15_T-1,30614,True,"[{'ObstacleID': '30614', 'OverallRiskScore': '0'}]",[30614],30606,True,True,False,True,True,True
USA_Washington-12_38_T-1,30629,True,"[{'ObstacleID': '30629', 'OverallRiskScore': '0'}]",[30629],30610,True,True,False,True,True,True
USA_Washington-32_46_T-1,30570,True,"[{'ObstacleID': '30570', 'OverallRiskScore': '0'}]",[30570],,True,True,False,True,True,True
USA_Washington-34_15_T-1,30579,True,"[{'ObstacleID': '30579', 'OverallRiskScore': '1'}]",[30579],,True,True,False,True,True,True
